PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,PEPOCH,DM,S1400,DIST_DM,DIST_DM1,TYPE,ASSOC,SURVEY,P0,P1,DMEPOCH,RM,S400,S150,SPINDX,W50,W10,F2,F3,NGLT,DIST_AMN,DIST_AMX,S300,CLK,EPHEM,PSRB,PMRA,PMDEC,S50,S600,TAU_SC,ELONG,ELAT,PMELONG,PMELAT,PX,UNITS,BINCOMP,BINARY,TASC,FB0,FB1,FB2,A1,EPS1,EPS2,DIST_A,PB,S3000,S4000,S800,S2000,S900,S1600,T0,PBDOT,ECC,OM,OMDOT,M2,S350,S100,S200,S80,A1DOT,S60,S5000,DM1,S40,TASC_2,PB_2,A1_2,EPS1_2,EPS2_2,SINI,M2_2,MASS_Q,S700,KOM,KIN,H3,STIG,H4,GAMMA,DM2,S100G,S150G,OM_ASC,DM3,T0_2,T0_3,PB_3,A1_3,ECC_2,ECC_3,OM_2,OM_3,SINI_2,SINI_3,M2_3,A12DOT,OM2DOT,P1˙,S6000,XDOT,F4,F5,S8000,S9000,DM4,DM5,ECCDOT,DTHETA,S1500,coord
J0024-7204ad,00:24:05.67,-72:04:5,,,,,24.41,0.084,2.551,1.044,,GC:47Tuc(NGC104),meerkat_trapum,0.00374,,,,,,,,,,,,,,,,,,5.252,-2.551,,,,,,,,0.232,,MS(?)[rgf+21],BT,,,,,0.68,,,4.521,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.023624999999999,-72.06805555555555"
J0024-7204C,00:23:50.3546,-72:04:31.5048,51600,173.70822,1.50421E-15,51600,24.5955,0.52,2.594,1.052,,"GC:47Tuc(NGC104),XRS",pksgc,0.00575678,-4.9850295E-20,,27,1.53,,,0.664,1.18,1.3E-27,,,,,,UTC(NIST),DE421,B0021-72C,5.252,-2.551,,1.54,,,,,,0.232,TDB,,,,,,,,,,4.521,,0.06,0.06,1.44,0.23,1.02,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.959810833333333,-72.075418"
J0024-7204D,00:24:13.88092,-72:04:43.8524,51600,186.65167,1.1922E-16,51600,24.7432,0.35,2.631,1.059,,"GC:47Tuc(NGC104),XRS",pksgc,0.0053575733,-3.422042E-21,,28,0.95,,,0.303,0.476,-1.2E-27,,,,,,UTC(NIST),DE421,B0021-72D,5.252,-2.551,,0.55,,,,,,0.232,TDB,,,,,,,,,,4.521,,0.05,0.02,1.06,0.2,1.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.057837166666666,-72.07884788888889"
J0024-7204E,00:24:11.10528,-72:05:20.1492,51600,282.7791,-7.87728E-15,51600,24.236,,2.509,1.035,,"GC:47Tuc(NGC104),XRS",pksgc,0.0035363291,9.8510296E-20,,,,,,0.9,,2.9E-27,,,,,,UTC(NIST),DE421,B0021-72E,5.252,-2.551,,,,,,,,0.232,TDB,,DD,,,,,1.9818428,,,4.521,2.2568483,,,,,,,51001.79,4.8E-12,0.0003159,218.6,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.046271999999999,-72.08893033333332"
J0024-7204F,00:24:03.85547,-72:04:42.8183,51600,381.15866,-9.3711E-15,51600,24.382,,2.543,1.042,,"GC:47Tuc(NGC104),XRS",pksgc,0.0026235795,6.450286E-20,,,,,,0.5,,6.8E-27,,,,,,,,B0021-72F,5.252,-2.551,,,,,,,,0.232,,,,,,,,,,,4.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.016064458333333,-72.07856063888889"
J0024-7204G,00:24:07.9603,-72:04:39.7030,51600,247.50153,2.5825E-15,51600,24.436,,2.556,1.045,,"GC:47Tuc(NGC104),XRS",pksgc,0.004040379,-4.2158443E-20,,,,,,0.7,,6E-27,,,,,,UTC(NIST),DE421,B0021-72G,5.252,-2.551,,,,,,,,0.232,TDB,,,,,,,,,,4.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.033167916666667,-72.07769527777778"
J0024-7204H,00:24:06.7032,-72:04:06.8067,51600,311.4934,1.775E-16,51600,24.369,,2.541,1.042,,"GC:47Tuc(NGC104),XRS",pksgc,0.0032103409,-1.829366E-21,,,,,,0.6,,1.6E-25,,,,,,UTC(NIST),DE421,B0021-72H,5.252,-2.551,,,,,,,,0.232,TDB,He[fck+03],DD,,,,,2.152813,,,4.521,2.357697,,,,,,,51602.188,-7E-13,0.070558,110.603,0.06725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.02793,-72.06855741666666"
J0024-7204I,00:24:07.9347,-72:04:39.6815,51600,286.9447,3.7771E-15,51600,24.43,,2.555,1.044,,"GC:47Tuc(NGC104),XRS",pksgc,0.003484992,-4.5873517E-20,,,,,,,,-3.35E-26,,,,,,UTC(NIST),DE421,B0021-72I,5.252,-2.551,,,,,,,,0.232,TDB,UL[fck+03],ELL1,51600.004,,,,0.038446,,,4.521,0.22979225,,,,,,,,-8E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.033061249999999,-72.07768930555555"
J0024-7204J,00:23:59.4077,-72:03:58.7908,51600,476.04684,2.219E-15,51600,24.5932,0.44,2.594,1.052,,"GC:47Tuc(NGC104),XRS",pksgc,0.0021006337,-9.7916956E-21,,20,,,,0.209,0.328,2E-26,,,,,,UTC(NIST),DE421,B0021-72J,5.252,-2.551,,,,,,,,0.232,TDB,UL[fck+03],BTX,,0.00009591912,-2.1E-21,-1.9E-28,0.0404058,,,4.521,,0.1,0.06,12.11,0.2,6.9,0.31,51600.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.997532083333334,-72.06633077777778"
J0024-7204L,00:24:03.7721,-72:04:56.923,51600,230.08775,6.4611E-15,51600,24.4,,2.547,1.043,,"GC:47Tuc(NGC104),XRS",pksgc,0.0043461677,-1.2204485E-19,,,,,,0.7,,-1.3E-27,,,,,,UTC(NIST),DE421,B0021-72L,5.252,-2.551,,,,,,,,0.232,TDB,,,,,,,,,,4.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.015717083333333,-72.08247861111111"
