PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,PEPOCH,DM,S1400,DIST_DM,DIST_DM1,TYPE,ASSOC,SURVEY,P0,P1,DMEPOCH,RM,S400,S150,SPINDX,W50,W10,F2,F3,NGLT,DIST_AMN,DIST_AMX,S300,CLK,EPHEM,PSRB,PMRA,PMDEC,S50,S600,TAU_SC,ELONG,ELAT,PMELONG,PMELAT,PX,UNITS,BINCOMP,BINARY,TASC,FB0,FB1,FB2,A1,EPS1,EPS2,DIST_A,PB,S3000,S4000,S800,S2000,S900,S1600,T0,PBDOT,ECC,OM,OMDOT,M2,S350,S100,S200,S80,A1DOT,S60,S5000,DM1,S40,TASC_2,PB_2,A1_2,EPS1_2,EPS2_2,SINI,M2_2,MASS_Q,S700,KOM,KIN,H3,STIG,H4,GAMMA,DM2,S100G,S150G,OM_ASC,DM3,T0_2,T0_3,PB_3,A1_3,ECC_2,ECC_3,OM_2,OM_3,SINI_2,SINI_3,M2_3,A12DOT,OM2DOT,P1˙,S6000,XDOT,F4,F5,S8000,S9000,DM4,DM5,ECCDOT,DTHETA,S1500,coord
J1452-6036,14:52:51.885,-60:36:31.43,,6.451938,-6.0383E-14,58320,349.525,1.9,6.135,5.783,,,"pksmb,htru_pks",0.1549922,1.4505554E-15,55000,16.2,,,-1.1,1.8,16,,,3,,,,,,,,,,,,,,,,,TDB,,,,,,,,,,,,0.76,,4.3,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"223.2161875,-60.60873055555556"
J1453+1902,,,57206,172.64291,-3.474E-16,57206,14.057,0.16,1.269,1.15,,,ar4,0.0057923025,1.1655537E-20,59227.152,3.3,2,6,1.3,0.4,1.1,,,,,,,TT(BIPM2017),DE436,,,,,,,214.20871,33.904613,4.59,-9.9,-1.1,TDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J1453-6413,14:53:32.665,-64:13:16.00,55433,5.57144,-8.51812E-14,55433,71.248,18,1.435,2.087,,,"mol1,mol2,pks70,pksm",0.17948681,2.744156E-15,55000,-18.6,230,630,,3.2,7.9,2.2E-25,,1,2,4.1,,,,B1449-64,-16,-21.3,,,,,,,,,TCB,,,,,,,,,,2.8,,2.4,,53,,,,,,,,,,,,1244,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"223.38610416666663,-64.22111111111111"
J1454-5846,14:54:10.908,-58:46:34.74,,22.100046,-3.99E-16,51300,116.091,0.299,2.988,2.197,,,"pksmb,htru_pks",0.045248773,8.169332E-19,58849.418,84.3,,,-1.42,2.9,4.8,,,,,,,,,,,,,,,,,,,,,CO[clm+01],BT,,,,,26.5289,,,,12.423065,,,,,,,51316.258,,0.001898,310.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"223.54545,-58.776316666666666"
J1455-3330,,,55569,125.20025,-3.80975E-16,55569,13.5697,0.73,0.684,0.527,"HE[lnl+95,aab+22]",GRS:4FGL_J1455-3331[,"pksmb,FermiAssoc",0.007987205,2.4304468E-20,58813.305,12,9,,-2.2,0.8,2.3,,,,0.74,,,TT(BIPM2017),DE436,,,,,8,,231.34753,-16.044798,8.14,0.37,0.1,TDB,He[lnl+95],DD,,,,,32.362213,,,,76.17457,,,3.2,,,,55531.145,,0.000169641,-136.549,,,,,,,-2.2E-14,,,,,,,,,,,,,,,,0.0000003,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0,0.0"
J1455-59,14:55:06,-59:23,,,,50841.7,498,1.6,6.692,7.118,,,pksmb,0.1761912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"223.77499999999998,-59.38333333333333"
J1456-48,14:56,-48:00,,,,56657,133,,9.338,3.488,,,ghrss,0.53681,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"223.99999999999997,-48.0"
J1456-6843,14:55:59.923,-68:43:39.50,57600,3.7968402,-1.4264E-15,57600,8.613,64,0.436,0.459,,,"mol1,mol2,pks70,pkss",0.2633769,9.8945644E-17,55000,-0.1,350,930,-1.1,13,26,,,,0.38,0.49,,,,B1451-68,-39.5,-12.3,,,0.0000000098,,,,,2.2,TCB,,,,,,,,,,0.43,,,,90,,,,,,,,,,,,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"223.99967916666662,-68.72763888888889"
J1457-5122,14:57:40.093,-51:22:54.9,57600,0.5719817,-1.73305E-15,57600,37,1.382,0.994,1.058,,,"mol2,pks70,pkssw,htr",1.7483076,5.2972047E-15,,12.7,4,,,14,85,,,,,,,,,B1454-51,,,,,,,,,,,TDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"224.41705416666665,-51.38191666666667"
J1457-5900,14:57:39.0,-59:00:51,,,,51462,175,0.24,3.738,3.186,,,"pksmb,htru_pks",1.4986374,3.66E-15,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"224.41249999999997,-59.01416666666667"
J1457-5902,14:57:31.9,-59:02:04,,,,51312,477.2,0.26,6.366,6.772,,,"pksmb,htru_pks",0.39073935,1.2306E-14,,13.7,,,,7.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"224.38291666666663,-59.03444444444444"
J1459-6053,14:59:29.99,-60:53:20.7,,9.694559,-2.37503E-12,54935,,,,,NRAD,GRS:4FGL_J1459.5-605,FermiBlind,0.10315064,2.527045E-14,,,,,,,,-4E-23,,,1.09,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"224.8749583333333,-60.88908333333333"
J1501-0046,15:01:44.9558,-00:46:23.52,,,,55170,22.2584,,2.131,1.446,,,"gbt350,gbncc",0.46403682,2.391E-16,,,,,,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.43731583333332,-0.7732"
J1501-5637,15:01:51.0,-56:37:48,,,,51506,258,0.21,4.938,4.472,,,"pksmb,htru_pks",0.78294855,1.7E-16,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.46249999999998,-56.63"
J1502+28,15:02:09,+28:13,,,,,14,,1.289,1.17,RRAT(?)[ttm18],,misc,3.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.53749999999997,28.216666666666665"
J1502+4653,15:02:19.83,+46:53:27.4,,0.57061076,-5.6E-17,58645,26.6,,25,1.536,,,fast_crafts,1.7525082,1.7199195E-16,,,,,,29.08,41.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.58262499999998,46.89094444444444"
J1502-5653,15:02:57.389,-56:53:39.21,,1.8673983,-6.3765E-15,51780,194,0.39,3.961,3.515,,,"pksmb,htru_pks",0.5355044,1.828557E-15,,-253.7,,,,7.2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.73912083333332,-56.894225"
J1502-5828,15:02:43.8,-58:28:42,,,,51297,584,0.5,7.093,8.161,,,"pksmb,htru_pks",0.6681051,3.64E-14,,362,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.68249999999998,-58.47833333333333"
J1502-6128,15:02:29.84,-61:28:50.3,,,,51708,256.5,0.56,5.189,5.217,,,"pksmb,htru_pks",0.84210384,1.348E-15,,69.4,,,-2.95,30,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.62433333333328,-61.48063888888889"
J1502-6752,15:02:18.615,-67:52:16.759,,37.390972,-4.397E-16,55421.2,152.242,0.87,7.865,4.178,,,htru_pks,0.026744423,3.1450167E-19,58855.203,232.8,,,-1.3,2.97,17,,,,,,,,,,-6,-14,,,,,,,,,,UL[kjb+12],ELL1,55421.21,,,,0.31754,0.000021,-0.000023,,2.4844573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.57756249999997,-67.87132194444443"
J1503+2111,15:03:54.60,+21:11:09.3,,,,52857,3.2603,,0.244,0.628,,,ar4,3.3140016,1.4E-16,56687,-5,1.3,4.6,-1.2,42,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.9775,21.185916666666667"
J1504-5621,15:04:49.14,-56:21:32,,,,51505,148.6,0.24,3.548,2.812,,,"pksmb,htru_pks",0.4129852,5.529E-15,,,,,,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226.20474999999996,-56.35888888888889"
J1504-5659,15:04:31.987,-56:59:19.4,,,,57483,454.2,0.11,11.274,7.33,,,htru_pks,1.6723723,1.428E-15,,,,,,49,60.3,,,,,,,,DE421,,,,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226.13327916666663,-56.98872222222222"
J1505-25,15:05,-25,,,,,44.7,,4.019,1.941,,,gbncc,0.999,,,,,,,11,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226.24999999999997,-25.0"
J1506-5158,15:06:39.5,-51:58:10,,,,43613.68,61,3.75,1.384,1.431,,,mol2,0.84073853,6.37E-15,,,5,,,14,35,,,,,,,,,B1503-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226.6645833333333,-51.96944444444445"
J1507-4352,15:07:34.175,-43:52:04.05,57600,3.4872549,-1.92672E-14,57600,48.7,0.9,1.394,1.344,,,"mol2,pks70,pkssw,htr",0.2867585,1.5843504E-15,,-34,16,,,4.2,8.4,,,,,,,,,B1504-43,,,,,,,,,,,TDB,,,,,,,,,,,,,,8,,,,,,,,,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226.89239583333332,-43.86779166666667"
J1507-5800,15:07:03.504,-58:00:56.20,,,,57604,429.5,0.2,5.893,6.088,,,htru_pks,0.8972541,2.603E-16,,,,,,8.7,64.5,,,,,,,,DE421,,,,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226.76459999999997,-58.01561111111111"
J1507-6640,15:07:48.634,-66:40:57.86,57600,2.8117032,-9.1066E-15,57600,129.8,0.6,4.792,3.557,,,"mol2,pkssw,htru_pks",0.35565633,1.1519068E-15,,-42.7,13,,-2.8,3.5,5.2,,,,,,,,,B1503-66,,,,,,,,,,,TDB,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"226.95264166666666,-66.68273888888889"
J1509+5531,15:09:25.6298,+55:31:32.394,52275,1.3519324,-9.13534E-15,49904,19.6191,8,2.074,0.989,,,"gb1,gb2,gb3,gb4,gbnc",0.73968196,4.998213E-15,56284,1.43,114,770,-2.3,10.9,26.3,5.16E-26,,1,2,2.2,,,,B1508+55,-73.64,-62.65,943,37,0.000000033,,,,,0.47,,,,,,,,,,,2.1,,,,,,21,,,,,,,,,,,2560,,2130,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"227.3567908333333,55.525665"
J1509-5850,15:09:27.156,-58:50:56.01,55378,11.245449,-1.159175E-12,55378,142.1,0.21,3.372,2.643,HE[waa+10],GRS:4FGL_J1509.4-585,pksmb,0.08892486,9.166328E-15,55000,41,,,,3.4,,1.2E-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"227.36314999999996,-58.84889166666667"
J1509-6015,15:09:07.5,-60:15:18.6,,,,51759,423.6,0.17,11.09,7.593,,,"pksmb,htru_pks",0.33903846,2.121E-15,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"227.28124999999997,-60.25516666666667"
J1510-4422,15:10:48.9,-44:22:07,,,,43557.984,84,,4.128,2.144,,,"mol2,pks70,pkssw,htr",0.9438713,6.1E-16,,8,14,,,50,100,,,,,,,,,B1507-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"227.70374999999996,-44.368611111111115"
J1511-5414,15:11:51.285,-54:14:40.32,57600,4.99042,-1.2072E-14,57600,84.76,0.75,2.43,1.742,,,"pksmb,htru_pks",0.20038395,4.8473573E-16,,-51.5,,,,4.3,7,,,,,,,,,,,,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"227.9636875,-54.24453333333334"
J1511-5835,15:11:07.0,-58:35:28,,,,51397,329.4,0.5,5.122,4.955,,,"pksmb,htru_pks",0.30151054,3.44E-16,58650,,,,-3.09,19,46,,,,,,,,,,,,,,0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"227.77916666666664,-58.59111111111111"
J1512-5431,15:12:05.7,-54:31:19,,,,51709,219,0.38,5.115,4.156,,,"pksmb,htru_pks",2.0405316,1.92E-15,,5.3,,,,114,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.02374999999995,-54.52194444444444"
J1512-5759,15:12:43.04,-57:59:59.8,55383,7.770094,-4.137272E-13,55383,627.47,7.8,6.835,7.334,,,"pks1,pksmb,htru_pks",0.12869857,6.8526973E-15,55000,510,,,,6,15,-1.2E-23,,,,,,,,B1508-57,,,,11.8,0.00714,,,,,,TCB,,,,,,,,,,,,1.24,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.1793333333333,-57.999944444444445"
J1513-2550,15:13:23.32059,-25:50:31.285,,,,56989.78,46.8765,0.308,3.96,1.954,HE,GRS:4FGL_J1513.4-254,FermiAssoc,0.0021190676,2.161E-20,59096.793,,,,-3.8,,,,,,,,,,,,,,,,,,,,,,,UL[san16],ELL1,56728.453,,,,0.0408132,0.0001542,,,0.17863545,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.34716912499997,-25.84202361111111"
J1513-5739,15:13:58.99,-57:39:01.4,,1.0272657,-2.907E-14,51137,469.7,0.77,5.89,6.455,,,"pksmb,htru_pks",0.973458,2.754733E-14,,261,,,,19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.49579166666663,-57.65038888888889"
J1513-5908,15:13:55.811,-59:08:09.60,55336,6.5970917,-6.653106E-11,55336,252.5,1.43,4.45,4.21,"HE[umw+93,ppp+09]","SNR:G320.4-1.2,GRS:A","misc,pksmb,htru_pks",0.15158194,1.5286899E-12,,216,1.5,,-1.5,16,37,1.896E-21,-9.139E-32,,3.6,5.7,,,,B1509-58,,,,,,,,,,,,,,,,,,,,,4.4,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.48254583333332,-59.136"
J1513-5946,15:13:44.78,-59:46:31.9,,,,54909,171.7,,3.757,3.196,RRAT,,pksmb,1.0461172,8.5284E-15,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.43658333333332,-59.775527777777775"
J1513-6013,15:13:54.02,-60:13:26.5,,,,57633,322.7,0.2,7.928,5.742,,,htru_pks,1.958737,1.371E-15,,,,,,35.3,64.2,,,,,,,,DE421,,,,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.47508333333332,-60.22402777777778"
J1514-4834,15:14:14.563,-48:34:19.97,57600,2.1985738,-4.47652E-15,57600,51.5,1.3,1.243,1.307,,,"mol2,pks70,pkssw,htr",0.4548403,9.261011E-16,,18,8.5,,,3.5,12,,,,,,,,,B1510-48,,,,,,,,,,,TDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.56067916666663,-48.57221388888889"
J1514-4946,15:14:19.1141,-49:46:15.516,,278.603,-1.4473E-15,55520,31.00857,0.25,0.908,0.941,HE,GRS:4FGL_J1514.3-494,FermiAssoc,0.0035893368,1.8646057E-20,59083.594,34.6,,,0.4,,,,,,,,,,,,-0.3,-30,,,,,,,,,,He[kcj+12],ELL1,55585.86,,,,1.933268,0.000006453587,0.000008789469,,1.9226536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.5796420833333,-49.77097666666666"
J1514-5316,15:14:40.160,-53:16:02.3,,,,57892,27.1,0.147,0.85,0.863,,,htru_pks,0.29627922,1.6E-18,,,,,,5.16,16.1,,,,,,,,DE421,,,,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.6673333333333,-53.26730555555555"
J1514-5925,15:14:59.10,-59:25:43.5,55415,6.7205443,-1.30014E-13,55415,192.51,0.29,3.906,3.484,,,"pksmb,htru_pks",0.14879747,2.8785993E-15,58650,6.4,,,,4.1,,,,,,,,,,,,,,,0.0167,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.74624999999995,-59.42875"
J1515-5720,15:15:09.23,-57:20:50.15,55380,3.4885962,-7.41624E-14,55380,480.6,0.25,6.069,6.612,,,"pksmb,htru_pks",0.28664824,6.0937185E-15,55000,41,,,-2,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"228.7884583333333,-57.34726388888889"
J1516-43,15:16:32.3,-43:20:00,,27.760653,,57575.4,70.3,,3.037,1.804,,,ghrss,0.03602221,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,ELL1,57575.418,,,,100,,,,228.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.13458333333332,-43.333333333333336"
J1517-313,15:17:51,-31:20,,,,,51,,3.294,1.819,,,,0.1406677,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.46249999999998,-31.333333333333332"
J1517-314,15:17:51,-31:20,,,,,61.7,,5.44,2.296,,,,1.1037264,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.46249999999998,-31.333333333333332"
J1517-32,15:17:01,-32:26:05,,,,56387,25.3,,0.966,0.993,,,"htru_pks,gbncc",0.0644019,,,,,,,2.3,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.25416666666663,-32.43472222222222"
J1517-4356,15:17:27.34,-43:56:17.9,,,,51500,87.78,0.5,4.473,2.234,,,"pkssw,htru_pks",0.6508369,2.155E-16,,1,,,,8.9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.36391666666665,-43.93830555555555"
J1517-4636,15:17:29.376,-46:36:00.6,,,,55210,127,0.3,7.675,3.164,,,htru_pks,0.8866125,2.098E-15,,-68,,,,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.37239999999997,-46.60016666666667"
J1518+0204A,15:18:33.3176,02:05:27.55,,,,48445,30.08,0.12,25,2.519,,GC:M5(NGC5904),misc,0.0055535925,4.122E-20,,,,,,0.37,,,,,8,8.5,,,,B1516+02A,4.086,-9.87,,,,,,,,0.141,,,,,,,,,,,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.6388233333333,2.0909861111111114"
J1518+0204B,15:18:31.458,02:05:15.47,,,,48445,29.47,0.025,13.608,2.357,,GC:M5(NGC5904),misc,0.007946941,-3.33E-21,,,0.5,,,1.6,,,,,8,8.5,,,,B1516+02B,4.086,-9.87,,,,,,,,0.141,,He[hrs+07],BT,,,,,3.04859,,,7.48,6.858454,,,,,,,48441.812,,0.13784,-0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.63107499999998,2.0876305555555557"
J1518+0204C,15:18:32.788893,+02:04:47.8153,,402.58823,-4.2252E-15,52850,29.3146,0.039,6.616,2.32,,"GC:M5(NGC5904),OPT:C",misc,0.0024839276,2.6069045E-20,,,,,,0.15,,-1.45E-26,,,8,8.5,,,,,4.086,-9.87,,,,,,,,0.141,,He(?)[prf+14],ELL1,52850.004,,,,0.05732042,,,7.48,0.08682883,,,,,,,,-9.14E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.6366203875,2.0799486944444445"
J1518+0204D,15:18:33.2,+02:04:52,,,,53735,29.3,0.008,6.511,2.316,,GC:M5(NGC5904),misc,0.002988,,,,,,,0.54,,,,,8,8.5,,,,,4.086,-9.87,,,,,,,,0.141,,He[hrs+07],BT,,,,,1.6,,,7.48,1.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.63833333333332,2.0811111111111114"
J1518+0204E,15:18:34,+02:04:58,,,,53735,29.3,0.01,6.507,2.316,,GC:M5(NGC5904),misc,0.003182,,,,,,,0.25,,,,,8,8.5,,,,,4.086,-9.87,,,,,,,,0.141,,He[hrs+07],BT,,,,,1.15,,,7.48,1.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.64166666666665,2.082777777777778"
J1518+0204F,15:18:33.2,+02:04:52,,,,,29.4,,7.47,2.339,BINARY[pqm+21],GC:M5(NGC5904)[pqm+2,fast_crafts,0.00265,,,,,,,,,,,,8,8.5,,,,,4.086,-9.87,,,,,,,,0.141,,,,,,,,,,,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.63833333333332,2.0811111111111114"
J1518-0627,15:18:59.1104,-06:27:07.70,,,,55170,27.9631,,2.679,1.623,,,"gbt350,gbncc",0.7949967,4.179E-16,,,,,,7.8,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.7462933333333,-6.452138888888889"
J1518-3952,15:18:56.968,-39:52:30.3,,,,56442,102.4,0.9,12.297,3.215,,,"htru_pks,gbncc",0.4991959,2.37E-16,,,,,,7.8,55,,,,,,,,,,,,,,,,,,,,TCB,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.73736666666665,-39.875083333333336"
J1518+4904,15:18:16.799084,49:04:34.25119,,24.42898,-1.62263E-17,52000,11.61139,4,0.964,0.631,,,"gb4,gbncc,lotaas",0.040934987,2.718998E-20,,-12.306,8,47,-1.56,1.42,2.36,,,,,,,,,,-0.67,-8.53,,8.7,,,,,,,,NS[jsk+08],DD,,,,,20.044003,,,,8.634006,0.8,,,,,,52857.71,2.4E-13,0.24948451,342.55438,0.0113725,,7.7,40,,,-1.1E-14,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.56999618333333,49.07618088611112"
